German,English,Frequency
definitiv,definitely,4707
locker,relaxed,4705
ed,ed,4703
vincent,vincent,4702
ums,killed,4700
abends,in the evening,4696
frisch,fresh,4694
kohle,coal,4689
fing,started,4689
hure,whore,4686
cousin,cousin,4685
familien,Familys,4685
einsam,lonely,4683
lebendig,lively,4681
heiligen,hallow,4677
knapp,just,4675
ebenfalls,Likewise,4672
überprüft,checked,4671
artikel,items,4670
gesetzt,set,4669
jederzeit,at any time,4662
kompliziert,complicated,4661
spüren,feel,4652
signal,signal,4652
amy,amy,4651
stich,Sting,4650
kino,movie theater,4643
probieren,try,4642
tode,Deaths,4640
wundervoll,wonderful,4639
tanz,dance,4638
geöffnet,open,4638
kerle,guys,4635
begraben,to bury,4631
prozent,percent,4629
stoppen,to stop,4626
hoheit,highness,4622
riesen,Giants,4619
rote,Red,4610
zugang,Access,4610
liest,read,4602
vorn,front,4601
wichtige,important,4600
aufmachen,open,4596
kelly,kelly,4596
sexy,sexy,4595
erlaubnis,permission,4592
grace,grace,4591
big,big,4587
story,story,4583
madam,madam,4581
leichter,lighter,4568
halben,half,4567
filme,movies,4567
priester,priest,4563
herauszufinden,out,4562
packen,pack,4561
dritte,third,4559
inzwischen,meanwhile,4557
larry,larry,4551
presse,Press,4548
sitze,seats,4548
machten,made,4547
geklaut,Stolen,4546
helden,heroes,4543
susan,susan,4541
geduld,patience,4537
bühne,stage,4537
reparieren,repair,4535
hä,huh,4531
usa,USA,4525
gerechtigkeit,justice,4524
fälle,cases,4519
selten,Rare,4519
anrufe,Calls,4518
unterschreiben,sign,4517
julia,julia,4516
drücken,to press,4513
mrs,mrs,4511
lügner,liar,4508
endet,ends,4503
dave,dave,4502
medizin,medicine,4502
schreibe,write,4502
verhaften,to arrest,4500
prozess,process,4499
samstag,Saturday,4494
amen,Amen,4491
motor,engine,4486
marie,marie,4485
abhauen,clear out,4482
chaos,chaos,4482
schönheit,beauty,4482
beinahe,nearly,4471
lebst,live,4468
tolles,great,4466
anhalten,stop,4466
fremden,strange,4463
hof,court,4463
akzeptieren,accept,4462
norden,north,4457
ärzte,doctors,4455
anziehen,attract,4454
dingen,things; matters,4454
umgehen,bypass,4453
bauch,belly,4452
gesamte,all,4449
hübsche,pretty,4449
ertragen,bear,4448
kiste,box,4445
brennt,burns,4443
teile,parts,4443
deckung,cover,4439
landen,land,4433
berg,mountain,4430
straßen,roads,4429
aufgenommen,recorded,4427
gerufen,called,4427
untersuchung,examination,4422
alarm,alarm,4422
blieb,remained,4419
vertraue,trust,4410
extra,extra,4409
entspann,relaxing,4409
beobachten,observe,4408
eindruck,impression,4406
tschüs,Bye,4402
babys,Babies,4399
wehtun,hurt,4396
zog,drew,4392
iss,iss,4392
herrgott,lord god,4388
echten,real,4385
springen,leap,4381
nackt,naked,4377
existiert,there,4375
befreien,to free,4375
gerät,device,4375
montag,Monday,4364
gezwungen,forced,4364
perfekte,perfect,4364
erzählst,tell,4363
bastard,bastard,4362
interessieren,interest,4357
schlechten,bad,4355
hank,hank,4355
steigt,increases,4354
st.,st.,4353
on,on,4352
carl,carl,4341
gekriegt,got,4340
fliehen,flee,4340
trug,wore,4335
freundschaft,Friendship,4334
rate,rate,4331
papiere,papers,4326
abgeschlossen,completed,4322
schnauze,snout,4320
beruf,job,4318
gebiet,area,4315
jeff,jeff,4312
jedoch,however,4312
beten,pray,4308
verbunden,connected,4307
sprachen,languages,4305
verräter,traitor,4304
wichtigste,leading,4303
prost,cheers,4302
brust,chest,4296
aufgehört,stopped,4293
kleider,clothes,4292
jacke,jacket,4290
bestellt,ordered,4287
herkommen,come here,4283
wild,wild,4282
nenne,call,4282
angesehen,viewed,4281
zuhören,to listen,4278
trennen,separate,4272
schlafzimmer,bedroom,4271
vorschlag,suggestion,4268
meins,mine,4266
gift,poison,4264
ton,volume,4264
vermissen,miss,4258
angekommen,arrived,4258
beantworten,answer,4255
deutlich,clear,4253
träumen,dream,4252
verwirrt,confused,4251
akten,files,4250
riskieren,take risk,4246
b,b,4236
victor,victor,4234
find,place,4232
erkannt,recognized,4227
beerdigung,funeral,4227
müll,rubbish,4223
weisst,know,4222
möge,may,4222
stellte,presented,4221
mitte,center,4219
erleben,experience,4217
geburt,birth,4213
decke,ceiling,4213
ch00ffff,ch00ffff,4211
wege,ways,4207
schritte,steps,4205
gibts,there,4201
gemeldet,reported,4199
hilfst,help,4197
mittagessen,Having lunch,4195
weint,weeps,4193
vernichten,destroy,4192
rock,skirt,4190
chicago,Chicago,4189
ellen,ellen,4189
crew,crew,4184
roy,roy,4181
türen,doors,4179
gewehr,gun,4179
elena,elena,4177
arbeitete,worked,4174
spiegel,mirror,4172
hauen,hit,4171
geraten,devices,4168
dritten,third,4167
ross,Horse,4166
julie,julie,4163
wetter,Weather,4160
schwul,humid,4159
regel,rule,4158
befindet,is,4156
einheit,unit,4151
german,German,4151
armer,low,4149
gucken,look,4149
anstatt,instead of,4149
champagner,champagne,4146
gründe,reasons,4146
strafe,punishment,4145
smith,smith,4144
öfter,more often,4140
anne,anne,4140
zelle,cell,4139
langen,long,4136
altes,old one,4133
ruiniert,ruined,4133
jonathan,jonathan,4132
kleidung,dress,4131
gras,grass,4130
kenn,mark,4130
agenten,agents,4126
herausgefunden,found out,4126
annie,annie,4126
rechten,right,4125
brot,loaf,4124
berlin,Berlin,4123
erfreut,pleased,4122
lügt,lying,4122
nehm,taking,4120
harte,hardness,4119
staaten,states,4114
station,station,4113
gaben,gifts,4110
hinterher,after,4110
verpassen,miss,4105
geholt,brought,4105
jesse,jesse,4103
hemd,shirt,4099
trinke,drink,4096
klären,clarify,4096
praktisch,practically,4095
theorie,theory,4094
zunge,tongue,4093
notfall,emergency,4092
besseren,better,4092
winter,winter,4091
c,c,4090
versuchst,try,4089
dahinter,behind it,4083
schwere,serious,4082
feuern,to fire,4082
lucy,lucy,4076
schießt,shoots,4076
anführer,leader,4075
schief,crooked,4075
blau,blue,4067
bestens,very well,4065
wartest,waiting,4065
gehts,gehts,4057
morgan,morgan,4057
unrecht,wrong,4053
leck,leak,4052
wonach,which,4052
entwickelt,developed,4052
bedeutung,importance,4047
strom,electricity,4034
krebs,cancer,4033
gemein,common,4029
wessen,whose,4029
minister,minister,4024
lhnen,wages sent,4021
quelle,source,4019
zahl,number,4019
schiffe,Ships,4018
schüsse,shots,4017
bricht,breaks,4013
talent,talent,4012
spitze,top,4009
fernseher,TV,4008
treiben,float,4006
ausgezeichnet,excellent,4006
tatort,crime scene,4002
möglichkeiten,options,4001
trinkt,drinking,3999
esse,eat,3986
cop,cop,3985
details,details,3984
täter,offender,3984
wahren,uphold,3979
dieb,Thief,3979
offiziell,officially,3977
dienen,serve,3976
westen,west,3975
entscheidungen,decisions,3975
dauernd,constantly,3971
geschmack,taste,3971
gegenseitig,each other,3971
gewählt,chosen,3961
charlotte,charlotte,3960
pech,bad luck,3957
verteidigen,defend,3956
schauspieler,actor,3955
personen,people,3954
überlassen,leave,3952
publikum,audience,3951
trägst,wear,3947
wechseln,switch,3945
begegnet,met,3944
betrogen,cheated,3943
besucht,visited,3941
vertrau,trust,3938
europa,Europe,3937
carrie,carrie,3936
patrick,patrick,3936
deutschland,Germany,3935
süßer,cutie pie,3933
loswerden,Get rid of,3929
melde,register,3928
maggie,maggie,3926
bestätigt,approved,3925
gas,gas,3921
sturm,Storm,3919
setze,put,3918
briefe,letters,3917
null,zero,3912
penny,penny,3912
schlafe,sleep,3910
wirken,Act,3908
geführt,guided,3906
starten,start,3904
götter,gods,3904
festhalten,hold tight,3899
geheim,secret,3899
übergeben,to hand over,3897
cia,cia,3896
abteilung,Department,3896
papier,paper,3894
wetten,bet,3894
gefolgt,followed,3889
verschiedene,various,3887
gleichzeitig,simultaneously,3886
genie,genius,3884
hungrig,hungry,3881
inspektor,inspector,3879
zwingen,to force,3879
atmet,breathes,3878
kuh,cow,3877
unterstützen,support,3877
geworfen,thrown,3876
verlor,lost,3875
süden,south,3873
pater,father,3872
menschheit,mankind,3870
versteck,hideout,3867
tötete,killed,3866
fähigkeiten,Skills,3864
beruhigt,calmed down,3863
rechtzeitig,in time,3863
streng,strict,3860
sendung,broadcast,3857
gelebt,lived,3854
treppe,stairway,3853
kim,kim,3851
richtiger,real,3850
aufnehmen,"record, tape",3849
wolf,wolf,3848
pa,pa,3847
öffnet,opens,3847
dämon,demon,3846
wut,fury,3846
schlange,Snake,3841
medikamente,drug,3837
geschenkt,given,3836
nenn,call,3833
gelegt,placed,3829
anfassen,touch,3829
pizza,Pizza,3829
schlechtes,bad,3828
hütte,hut,3825
mantel,coat,3823
behauptet,claims,3822
kilometer,kilometre,3822
beeilung,Hurry up,3818
angeblich,allegedly,3816
reiten,horse riding,3811
helen,helen,3808
mittag,noon,3808
gewarnt,warned,3805
wohne,live,3803
las,read,3801
dunkelheit,Darkness,3799
spazieren,to stroll,3797
angel,fishing rod,3794
hiermit,herewith,3792
schließt,includes,3790
phoebe,phoebe,3788
vieles,much,3785
erfüllt,Fulfills,3784
tausend,thousand,3783
sack,bag,3782
eindeutig,clearly,3778
unterhaltung,entertainment,3777
gründen,establish,3776
km,km,3775
zugeben,admit,3771
mittel,medium,3770
explosion,explosion,3770
gefangenen,caught,3766
taylor,taylor,3765
frische,fresh,3763
verdächtigen,suspect,3763
neugierig,curious,3761
leitung,management,3758
kennenlernen,to get to know,3754
fliege,Fly,3752
lebte,lived,3752
menschliche,human,3750
anderem,others,3749
auseinander,apart,3748
fressen,eat,3738
beides,both,3737
ficken,fuck,3736
stoff,material,3736
spüre,feel,3731
eilig,hurried,3729
stammt,dates,3728
vorgestellt,presented,3727
linda,linda,3726
welch,what,3725
wichtiges,important,3722
no,no,3720
gehörte,belonged,3718
mhm,mhm,3717
glaubte,thought,3713
oberst,colonel,3712
schrank,cabinet,3711
fremde,foreign,3708
gnade,grace,3705
chloe,chloe,3702
yo,yo,3700
entspannen,relax,3697
virus,virus,3693
schläfst,sleep,3690
einladung,invitation,3687
krieger,warrior,3674
vernünftig,reasonable,3673
fein,fine,3672
greifen,to grab,3670
whoa,whoa,3670
kyle,kyle,3669
schickte,sent,3669
per,by,3668
mitglied,member,3667
einziger,only,3663
umzubringen,kill,3663
zurückkehren,to return,3663
feld,field,3661
mexiko,Mexico,3660
erschaffen,create,3658
information,information,3657
hergekommen,came here,3657
beweg,Move,3657
stärke,Strength,3654
vermögen,capital,3652
verbracht,spent,3652
gewisse,certain,3650
waschen,to wash,3648
howard,howard,3642
staat,Country,3642
geister,ghosts,3641
behaupten,claim,3640
schrei,Scream,3636
würdet,would,3635
vögel,birds,3634
warnen,to warn,3633
albert,albert,3632
chancen,opportunities,3630
treibt,drives,3629
nannte,named,3628
vermute,suspect,3627
mitternacht,midnight,3627
jones,Jones,3624
freundinnen,girlfriends,3622
lecker,delicious,3616
klinik,clinic,3615
dicht,close,3605
befinden,are located,3597
ließen,could,3596
bürger,citizens,3593
verursacht,caused,3593
hammer,hammer,3590
klang,sound,3589
internet,Internet,3586
aufregend,exciting,3583
grenzen,border,3581
politik,politics,3580
superman,superman,3577
zurecht,deal,3574
besitz,possession,3573
cops,cops,3570
eingesperrt,locked up,3567
irren,be wrong,3566
kommando,command,3566
schlug,beat,3566
krankenwagen,ambulance,3562
love,love,3562
öffne,open,3561
karen,karen,3561
richten,judge,3561
mademoiselle,mademoiselle,3560
erfunden,invented,3559
schnee,snow,3557
fühl,feeling,3549
behalte,keep,3548
beschützt,protected,3547
punkte,Points,3546
entfernen,remove,3545
abgehauen,escape,3545
geträumt,dreamed,3543
stefan,Stefan,3543
dämonen,demons,3540
tränen,tears,3540
erfolgreich,successfully,3537
volle,full,3535
wilson,Wilson,3534
caroline,caroline,3534
höher,higher,3531
happy,happy,3529
brille,glasses,3523
musstest,had to,3522
heimat,homeland,3517
terry,terry,3517
liebsten,favorite,3517
bye,bye,3517
leiter,ladder,3514
sean,sean,3513
kauf,purchase,3512
spinnst,crazy,3511
werk,plant,3511
cent,cent,3507
schlacht,battle,3507
beziehungen,Relationships,3507
abgemacht,settled,3506
schreie,cry,3506
hmm,hmm,3505
bestätigen,to confirm,3503
erschreckt,frightened,3503
offizier,officer,3502
that,did,3501
sara,sara,3498
affäre,affair,3496
empfangen,receive,3495
zweck,purpose,3494
kämpfe,fight,3493
ergeben,yield,3491
china,China,3489
fange,start,3487
häuser,Houses,3487
verliere,losing,3487
gedanke,thought,3487
tausende,thousands,3487
heutzutage,these days,3486
gefühlt,felt,3484
schnitt,cut,3482
carlos,carlos,3480
harold,harold,3479
lebend,live,3479
real,real,3478
holz,Wood,3477
kaiser,Emperor,3476
spielte,played,3475
begonnen,began,3471
ziehst,pull,3471
gelandet,landed,3469
scheidung,divorce,3468
bart,beard,3467
beschlossen,decided,3467
klo,loo,3465
riechen,smell,3465
vergisst,forgets,3463
begeistert,excited,3462
ei,egg,3459
durchs,through,3458
geil,hot,3454
nieder,low,3453
erkläre,declare,3450
schreckliche,terrible,3448
beeindruckt,impressed,3443
vince,vince,3441
aufgegeben,given up,3441
aufgrund,by virtue of,3440
momentan,currently,3439
solch,such,3439
meistens,mostly,3437
stress,stress,3436
sterne,Stars,3433
heilen,heal,3433
soviel,so much,3425
kannten,knew,3424
stattdessen,instead,3421
aye,aye,3421
dinger,dinger,3420
stimmung,Mood,3416
bulle,bull,3413
aufgefallen,noticed,3413
kämpft,fight,3412
geräusch,noise,3410
künstler,Artist,3406
wachsen,to grow,3405
verurteilt,sentenced,3404
himmels,heaven,3403
tyler,tyler,3403
urteil,judgment,3402
schweine,pigs,3400
nettes,nice,3399
house,house,3396
verlust,loss,3396
verließ,left,3396
wirf,throw,3395
wenige,few,3392
willie,willie,3392
schulter,shoulder,3392
kalifornien,California,3392
lernt,learns,3391
beigebracht,taught,3390
normale,normal,3389
anbieten,to offer,3388
verwenden,use,3387
gratuliere,congratulations,3386
fluch,curse,3386
rick,rick,3385
übers,over,3384
grün,green,3383
unterricht,classes,3383
dachtest,thought,3381
verarschen,muck around,3380
gewöhnt,used,3378
anklage,accusation,3375
tollen,great,3372
lippen,lips,3371
fett,fat,3369
lege,lege,3365
feigling,coward,3363
achten,"respect, think highly of",3363
gary,gary,3363
erfährt,learns,3362
gewohnt,used,3361
jessica,jessica,3359
äußerst,extremely,3357
einladen,invite,3356
käse,cheese,3356
aufwachen,wake up,3355
verfügung,disposal,3354
uniform,uniform,3351
zusehen,watch,3350
gesundheit,health,3349
abenteuer,adventure,3348
hosen,pants,3345
kurze,short,3343
scheck,check,3343
täglich,Every day,3340
fresse,mug,3339
übernehme,take over,3336
wiederholen,to repeat,3335
bestellen,to order,3334
freiwillig,voluntary,3334
cole,cole,3333
universum,universe,3332
zeuge,witness,3332
west,west,3329
marshall,marshall,3329
fähig,able to,3328
revier,territory,3323
reifen,tires,3322
mum,mum,3322
führe,lead,3320
durchgemacht,undergone,3319
tests,Testing,3317
führte,led,3316
schenken,give,3316
schädel,skull,3315
realität,reality,3315
april,April,3315
albern,silly,3315
brav,well-behaved,3314
schwerer,severe,3313
jagd,hunt,3312
versagt,failed,3312
truck,truck,3310
steckst,'re stuck,3309
geschenke,gifts,3307
sicherlich,definitely,3307
öffentlichkeit,Publicity,3306
merkt,noted,3305
verbrecher,criminal,3304
maske,mask,3304
verstärkung,reinforcement,3303
liefern,deliver,3300
jo,jo,3296
starke,Strength,3294
grunde,reasons,3294
gordon,gordon,3294
würd,would,3293
verschwand,disappeared,3293
schulde,owe,3292
russen,russians,3290
führer,leader,3288
gemerkt,noticed,3288
ciao,ciao,3287
loslassen,let go,3283
berichten,to report,3283
verabschieden,saying goodbye,3283
antrag,application,3283
schieß,shooting,3282
abby,abby,3278
benehmen,behavior,3276
verdacht,suspicion,3273
hübsches,pretty,3272
schreibtisch,writing desk,3272
e,e,3271
vampir,vampire,3270
rory,rory,3269
probe,sample,3268
schaff,creating,3267
verzeih,forgive,3265
patient,patient,3263
geküsst,kissing,3260
ertönt,sounds,3257
nahmen,took,3254
zahlt,pays,3253
vorbereiten,to prepare,3253
verbrannt,burnt,3252
verdammtes,fucking,3250
frankie,frankie,3245
informiert,informed,3242
einziges,single,3242
zucker,sugar,3241
stinkt,smells bad,3238
schnappt,snaps,3238
schreib,write,3237
standen,stood,3236
klamotten,clothes,3235
heil,Salvation,3233
besitzer,owner,3230
marcus,marcus,3230
tess,tess,3229
drum,drum,3228
tasse,Cup,3227
hinweis,Note,3227
verteidigung,defense,3225
lügst,lying,3224
lies,read,3223
magen,stomach,3223
enterprise,enterprise,3219
michelle,michelle,3217
beeilt,hastens,3215
tunnel,tunnel,3212
einst,once,3210
behandlung,treatment,3208
serie,series,3204
applaus,applause,3204
markt,market,3204
korrekt,correctly,3203
besessen,obsessed,3201
bewahren,save,3201
nr.,No.,3200
pack,pack,3199
gekämpft,fought,3197
black,black,3195
angreifen,attack,3193
tiefer,lower,3192
huh,huh,3190
truppen,troops,3190
kommandant,commander,3186
osten,east,3186
elf,eleven,3186
beeindruckend,impressive,3184
besitzt,has,3183
ho,ho,3183
heut,today,3182
clever,clever,3182
verrückten,crazy,3180
freien,free,3180
hass,hate,3179
antworte,answer,3177
posten,Post,3176
schneiden,to cut,3176
sammeln,collect,3169
gesteckt,plugged,3166
wissenschaft,science,3165
ursache,reason,3162
gewiss,certainly,3160
bereich,Area,3158
catherine,catherine,3158
meinetwegen,because of me,3156
l.a.,L.A.,3156
senator,senator,3154
ausziehen,move out,3153
verzweifelt,desperate,3149
jess,jess,3148
anteil,proportion of,3146
stets,always,3145
ritter,Knight,3145
viertel,quarter,3143
roman,novel,3142
pünktlich,in time,3137
erfüllen,fulfill,3135
kauft,buys,3135
molly,molly,3134
basis,Base,3131
eva,eva,3130
schock,shock,3128
empfang,reception,3128
wiederhole,repeat,3127
wünscht,wishes,3125
besondere,special,3125
titel,title,3124
stil,style,3124
fingerabdrücke,fingerprints,3121
einfluss,influence,3121
anweisungen,instructions,3121
zahle,pay,3120
shield,shield,3119
opfern,to sacrifice,3113
blaue,blueness,3112
sparen,save up,3111
weiteres,additional,3111
gehörst,belong,3109
farm,farm,3108
erstaunlich,amazing,3108
schwachsinn,idiocy,3106
miete,rental fee,3106
verwandelt,transformed,3104
daneben,Besides,3101
klaus,Klaus,3099
bereiten,prepare,3099
wüste,desert,3097
prüfen,check,3096
gabe,gift,3095
hundert,hundred,3094
erscheinen,appear,3092
laß,let,3091
besiegen,defeat,3085
verpiss,verpiss,3085
umständen,circumstances,3084
angelegenheit,matter,3083
landes,country,3082
dienstag,Tuesday,3081
folgendes,following,3081
fürchten,to fear,3080
mordes,murder,3080
nennst,call,3079
angestellt,employed,3079
training,training,3076
aufgetaucht,surfaced,3075
rausfinden,find out,3073
ächzt,groans,3070
rauskommen,come out,3070
planet,planet,3069
suppe,Soup,3068
erwischen,catch,3067
sitz,Seat,3066
johnson,johnson,3065
vorteil,advantage,3065
for,for,3064
rosa,pink,3062
tour,trip,3060
amerikanische,American,3060
schönste,most beautiful,3059
rufst,call,3059
berührt,touched,3058
französisch,French,3058
gouverneur,governor,3056
angeles,angeles,3053
kaufe,buy,3050
stern,star,3049
gedächtnis,memory,3049
wirklichkeit,reality,3045
bestraft,fined,3044
kreis,circle,3044
reine,pure,3044
edward,edward,3043
schlimmes,bad,3042
bestehen,consist,3041
jeannie,jeannie,3039
erscheint,appear,3039
staatsanwalt,prosecuting attorney,3038
ewigkeit,eternity,3036
störung,disorder,3035
hässlich,ugly,3034
lauft,running,3033
angezogen,attracted,3032
señor,señor,3030
half,helped,3029
sollt,shall,3027
martha,martha,3027
tiger,tiger,3026
zigarette,Cigarette,3025
mutig,brave,3022
ausruhen,take a rest,3021
andrew,andrew,3020
linken,left,3019
hauptmann,captain,3019
umstände,circumstances,3019
not,distress,3019
unglück,bad luck,3018
eng,closely,3018
white,white,3016
lucas,lucas,3015
üben,to practice,3014
wissenschaftler,scientist,3013
gelöst,solved,3013
reaktion,reaction,3013
morde,murders,3013
dusche,shower,3011
mitarbeiter,Employee,3011
your,your,3010
bedroht,threatened,3009
gehöre,belong,3008
befreit,exempt,3007
stöhnen,moan,3007
reagiert,responds,3006
identität,identity,3006
rund,round,3004
texas,Texas,3002
fieber,fever,3001
hirn,brain,3000
leiten,conduct,3000
donnerstag,Thursday,2998
leonard,leonard,2998
unheimlich,creepy,2998
mulder,mulder,2997
jahrhundert,century,2994
irgend,any,2994
diener,servant,2991
bruce,bruce,2990
extrem,extreme,2988
ausweis,identification card,2987
sicht,view,2987
sport,Sports,2987
juden,Jewry,2986
studiert,educated,2985
angelogen,lied to,2985
schaue,look,2985
little,little,2985
sally,sally,2984
text,text,2983
earl,earl,2981
nebenan,next door,2981
todd,todd,2979
lektion,lesson,2978
mäuse,mice,2978
staub,dust,2973
sophie,sophie,2973
kugeln,roll,2970
dutzend,dozen,2969
ratte,rat,2969
mitleid,pity,2968
testen,testing,2968
auftritt,occurs,2967
gegner,opponent,2965
joseph,joseph,2964
verdienst,earnings,2962
langsamer,slower,2962
wunde,wound,2961
linie,line,2961
bedrohung,threat,2960
bauer,Farmer,2959
kurzem,recently,2959
fische,fishes,2959
einkaufen,shop,2959
kreuz,cross,2958
afrika,Africa,2957
begangen,committed,2957
el,el,2955
nachsehen,check,2954
junior,junior,2954
bäume,trees,2950
leidenschaft,Passion,2948
geliebte,Lover,2946
bereuen,to regret,2946
spieler,player,2945
berge,mountains,2945
verwendet,used,2943
steuern,Taxes,2942
gekümmert,care,2942
voran,Ahead,2941
wieviel,how much,2941
barney,Barney,2940
graf,earl,2939
verabredung,meeting,2938
verlasse,leave,2938
überfallen,raid,2936
donna,donna,2935
umdrehen,turn around,2935
damon,demon,2934
kilo,kilo,2933
diego,Diego,2932
negativ,negative,2932
schild,sign,2930
tanzt,dances,2929
verbrennen,burn,2927
gefreut,pleased,2925
penner,Jerk,2922
blauen,blue,2921
jay,jay,2920
stücke,pieces,2917
angela,angela,2917
kühlschrank,fridge,2916
identifizieren,identify,2916
lehrerin,Teacher,2916
francisco,francisco,2915
kameras,cameras,2914
zentrale,central,2910
jäger,Hunter,2910
josh,josh,2910
wayne,wayne,2909
wenden,turn,2908
we,we,2908
holst,holst,2906
suchte,sought,2904
start,begin,2902
füßen,feet,2901
unglücklich,unhappy,2900
frohe,Merry,2899
sand,sand,2898
pfarrer,minister,2897
plus,plus,2897
nancy,nancy,2896
brachten,brought,2891
zauber,Magic,2890
berühren,touch,2889
rückkehr,return,2889
hafen,port,2889
indianer,Indian,2881
miller,miller,2880
verschwenden,waste,2880
untersucht,examined,2878
königs,King's,2878
jean,jean,2878
lese,reading,2875
stahl,stole,2873
hättet,would have,2873
affen,monkey,2870
worten,answer,2867
kindheit,childhood,2866
gewollt,wanted,2866
op,operating room,2866
vermeiden,avoid,2864
fabrik,factory,2864
aussagen,statement,2862
wunderbare,wonderful,2862
grandpa,grandpa,2861
miststück,bitch,2861
verrückter,crazy,2860
lane,lane,2860
jungfrau,Virgin,2859
einfache,easy,2858
nate,nate,2858
laufe,run,2856
reingelegt,tricked,2855
seltsame,strange,2854
heiratet,married,2854
angenehm,enjoyable,2854
daheim,home,2854
planen,to plan,2852
klauen,steal,2851
geruch,odor,2851
marty,marty,2851
klingen,sound,2849
tina,tina,2849
nächster,Next,2849
hörten,heard,2849
jackie,jackie,2848
trafen,met,2848
ungern,reluctantly,2847
abgelehnt,declined,2846
erstens,first,2843
abmachung,agreement,2843
appetit,appetite,2843
miami,Miami,2841
zeigte,showed,2840
fan,fan,2839
hohen,high,2837
alf,alf,2837
ladys,ladys,2834
sms,sms,2833
verkauf,sale,2832
jamie,jamie,2831
verbergen,hide,2831
sorgt,provides,2831
karl,karl,2829
sohnes,son,2828
berühmt,famous,2828
aussteigen,get out,2827
bonnie,bonnie,2822
ginge,would,2822
reingehen,go in,2821
durfte,could,2821
korrektur,correction,2815
wirft,raises,2814
titten,breasts,2813
betreten,to enter,2811
todes,death,2807
one,one,2806
doctor,doctor,2805
blöden,stupid,2804
miles,miles,2803
rausholen,rausholen,2803
hohe,height,2802
aufnahme,admission,2801
by,by,2801
holmes,holmes,2800
hübscher,prettier,2799
vegas,Vegas,2797
manager,Manager,2795
stellung,position,2793
höhle,cave,2792
schokolade,chocolate,2791
angeboten,offered,2790
befreundet,friendly,2787
weib,woman,2785
ausgerechnet,just,2784
walker,walker,2784
beibringen,teach,2783
nelson,nelson,2783
ex,ex,2783
belohnung,reward,2782
seelen,souls,2781
steine,stones,2781
garage,garage,2778
scheißkerl,motherfucker,2777
gestört,disturbed,2777
cooper,cooper,2773
ruhen,rest,2772
pillen,pills,2771
gepäck,baggage,2770
carol,carol,2767
norman,norman,2765
zoe,zoe,2765
amerikanischen,American,2765
telefonieren,to phone,2765
heirate,marry,2762
erkenne,recognize,2761
funk,Wireless,2760
grüß,grüß,2759
hurensohn,son of a bitch,2759
mögliche,possible,2759
spring,spring,2758
uni,University,2758
scheinbar,seemingly,2753
fakten,facts,2752
informieren,to inform,2752
jugend,youth,2751
feier,celebration,2751
wenigen,few,2750
söhne,sons,2747
benzin,petrol,2747
nix,nothing,2747
vampire,vampire,2745
erkennt,recognizes,2741
sicherer,secure,2741
zigaretten,cigarettes,2740
dummes,silly,2740
mauer,Wall,2740
erneut,again,2740
flügel,wing,2740
schluck,sip,2740
hierbleiben,stay here,2738
abschluss,graduation,2738
christus,Christ,2738
bezahle,pay,2737
böses,bad,2737
dummkopf,fool,2737
gerüchte,rumors,2736
eingestellt,adjusted,2734
m.,m.,2730
weitergehen,go on,2729
technik,technology,2728
ali,ali,2727
bezweifle,doubt,2726
piper,piper,2725
over,over,2723
gekostet,tasted,2721
anzeige,display,2720
wohnst,live,2718
hans,Hans,2718
ergebnis,Result,2717
bedingungen,conditions,2717
brad,brad,2717
aufzuhalten,stop,2717
versprich,promise,2715
verdiene,deserve,2714
geschnappt,caught,2713
francis,francis,2712
eile,Hurry,2709
innen,Inside,2709
italien,Italy,2708
einig,Some,2707
verhandeln,negotiate,2704
weswegen,why,2704
nützlich,useful,2703
inneren,inner,2701
gentleman,gentleman,2700
felix,felix,2700
vergesse,forget,2699
dunkle,dark,2699
warnung,warning,2698
gemeinde,local community,2696
diamanten,diamonds,2695
wächst,grows,2694
gewöhnlich,usually,2691
seil,rope,2691
bär,bear,2690
euro,Euro,2690
großartige,great,2689
beth,beth,2686
ware,would,2685
traurige,sad,2684
persönliche,personal,2683
figur,figure,2681
time,time,2680
roboter,robot,2680
anschauen,look at,2677
kürzlich,recently,2677
material,material,2677
paula,paula,2676
käme,would,2675
stellst,ask,2674
bereitet,prepares,2674
einfallen,come to mind,2674
käfig,Cage,2674
fantasie,fantasy,2673
brach,broke,2673
satz,sentence,2672
kommissar,commissioner,2671
exzellenz,excellency,2668
schuldest,owe,2667
nass,wet,2665
rächen,revenge,2664
womöglich,possibly,2662
begrüßen,welcome,2662
lou,lou,2661
davis,davis,2660
überraschen,to surprise,2659
menschlichen,human,2659
repariert,repaired,2659
führung,guide,2657
gestanden,been,2656
jacob,jacob,2655
schütze,Sagittarius,2655
störe,bother,2653
nina,nina,2653
filmen,film,2653
jobs,jobs,2652
maschinen,machinery,2651
unterlagen,documents,2651
palast,palace,2650
graben,dig,2648
kette,Chain,2648
auftauchen,Pop up,2647
interessante,interesting,2647
wovor,before what,2646
springt,jumps,2646
terroristen,terrorists,2645
stan,stan,2644
bekämpfen,fight,2644
lärm,noise,2643
flehe,implore,2643
aufgewachsen,grew up,2642
arbeiter,worker,2640
größere,more,2639
humor,humor,2639
betrachten,consider,2637
be,be,2633
organisation,organization,2632
widerstand,resistance,2631
bergen,recover,2629
studio,Studio,2628
hausaufgaben,homework,2628
vögeln,fuck,2627
bescheuert,stupid,2625
weggehen,walk away,2625
